file,level,observe_count,activation_count,mean_observe_per_activation
u1769713777399.csv,sm331_2,0,1,0.0
u1769713777399.csv,sm341_1,0,1,0.0
u1769713777399.csv,sm351_2,0,1,0.0
u1769713777399.csv,sm371_2,0,1,0.0
u1769713777399.csv,sm411_2,0,1,0.0
u1769713777399.csv,sm421_1,0,1,0.0
u1769713777399.csv,sm431_1,0,1,0.0
u1769713777399.csv,sm531_1,0,1,0.0
u1769713777399.csv,sm543_2,0,1,0.0
u1769713777399.csv,sm612_2,0,1,0.0
u1769713897328.csv,comprehension_check,0,1,0.0
u1769713897328.csv,experiment,0,1,0.0
u1769713897328.csv,s111_1,0,1,0.0
u1769713897328.csv,sm111_1,0,1,0.0
u1769713897328.csv,sm112_1,14,1,14.0
u1769713897328.csv,sm211_2,5,1,5.0
u1769713897328.csv,sm311_1,8,1,8.0
u1769713897328.csv,sm321_2,10,1,10.0
u1769713897328.csv,sm351_1,10,1,10.0
u1769713897328.csv,sm361_2,10,1,10.0
u1769713897328.csv,sm421_2,18,1,18.0
u1769713897328.csv,sm431_2,8,1,8.0
u1769713897328.csv,sm531_1,8,1,8.0
u1769713897328.csv,sm541_2,12,1,12.0
u1769713897328.csv,sm611_1,8,1,8.0
u1769713059748.csv,comprehension_check,0,1,0.0
u1769713059748.csv,experiment,0,1,0.0
u1769713059748.csv,s111_1,0,1,0.0
u1769713059748.csv,sm111_1,0,1,0.0
u1769713059748.csv,sm112_1,7,1,7.0
u1769713059748.csv,sm221_1,2,1,2.0
u1769713059748.csv,sm311_2,0,1,0.0
u1769713059748.csv,sm371_2,0,1,0.0
u1769713059748.csv,sm431_1,6,1,6.0
u1769713059748.csv,sm511_2,13,1,13.0
u1769713059748.csv,sm521_1,5,1,5.0
u1769713059748.csv,sm531_2,5,1,5.0
u1769713059748.csv,sm541_1,12,1,12.0
u1769713059748.csv,sm543_2,0,1,0.0
u1769713059748.csv,sm611_2,8,1,8.0
u1769714746052.csv,comprehension_check,0,1,0.0
u1769714746052.csv,experiment,0,1,0.0
u1769714746052.csv,s111_1,0,1,0.0
u1769714746052.csv,sm111_1,11,1,11.0
u1769714746052.csv,sm112_1,5,1,5.0
u1769714746052.csv,sm211_2,6,1,6.0
u1769714746052.csv,sm341_2,11,1,11.0
u1769714746052.csv,sm351_1,10,1,10.0
u1769714746052.csv,sm361_1,11,1,11.0
u1769714746052.csv,sm421_2,15,1,15.0
u1769714746052.csv,sm431_2,6,1,6.0
u1769714746052.csv,sm511_1,23,1,23.0
u1769714746052.csv,sm521_2,12,1,12.0
u1769714746052.csv,sm543_1,0,1,0.0
u1769714746052.csv,sm611_1,9,1,9.0
u1769713219723.csv,comprehension_check,0,1,0.0
u1769713219723.csv,experiment,0,1,0.0
u1769713219723.csv,s111_1,0,1,0.0
u1769713219723.csv,sm111_1,9,1,9.0
u1769713219723.csv,sm112_1,14,1,14.0
u1769713219723.csv,sm221_2,6,1,6.0
u1769713219723.csv,sm341_1,11,1,11.0
u1769713219723.csv,sm361_2,10,1,10.0
u1769713219723.csv,sm371_1,0,1,0.0
u1769713219723.csv,sm411_1,13,1,13.0
u1769713219723.csv,sm432_2,0,1,0.0
u1769713219723.csv,sm511_2,23,1,23.0
u1769713219723.csv,sm521_1,19,1,19.0
u1769713219723.csv,sm541_2,12,1,12.0
u1769713219723.csv,sm612_1,12,1,12.0
u1769715727004.csv,comprehension_check,0,1,0.0
u1769715727004.csv,experiment,0,1,0.0
u1769715727004.csv,s111_1,0,1,0.0
u1769715727004.csv,sm111_1,50,1,50.0
u1769715727004.csv,sm112_1,4,1,4.0
u1769715727004.csv,sm321_1,7,1,7.0
u1769715727004.csv,sm331_1,21,1,21.0
u1769715727004.csv,sm341_2,6,1,6.0
u1769715727004.csv,sm371_1,0,1,0.0
u1769715727004.csv,sm411_1,19,1,19.0
u1769715727004.csv,sm432_1,7,1,7.0
u1769715727004.csv,sm531_2,6,1,6.0
u1769715727004.csv,sm541_1,19,1,19.0
u1769715727004.csv,sm543_1,18,1,18.0
u1769715727004.csv,sm612_1,8,1,8.0
u1769713424200.csv,comprehension_check,0,1,0.0
u1769713424200.csv,experiment,0,1,0.0
u1769713424200.csv,s111_1,0,1,0.0
u1769713424200.csv,sm111_1,0,1,0.0
u1769713424200.csv,sm112_1,0,1,0.0
