file,level,observe_count,agent2_count,agent3_count,activation_count,mean_observe_per_activation
u1770051562325.csv,sm311_1,12,4,8,1,12.0
u1770051562325.csv,sm321_1,9,0,9,1,9.0
u1770051562325.csv,sm331_2,6,1,5,1,6.0
u1770051562325.csv,sm351_2,9,0,9,1,9.0
u1770051562325.csv,sm411_1,14,1,13,1,14.0
u1770051562325.csv,sm421_1,8,8,0,1,8.0
u1770051562325.csv,sm432_1,9,0,9,1,9.0
u1770051562325.csv,sm531_1,8,0,8,1,8.0
u1770051562325.csv,sm541_1,6,6,0,1,6.0
u1770051562325.csv,sm612_1,11,0,11,1,11.0
u1770041510906.csv,comprehension_check,0,0,0,1,0.0
u1770041510906.csv,experiment,0,0,0,1,0.0
u1770041510906.csv,s111_1,0,0,0,1,0.0
u1770041510906.csv,sm111_1,13,1,12,1,13.0
u1770041510906.csv,sm112_1,22,6,16,1,22.0
u1770041510906.csv,sm221_1,2,0,2,1,2.0
u1770041510906.csv,sm311_2,3,3,0,1,3.0
u1770041510906.csv,sm371_2,20,0,20,1,20.0
u1770041510906.csv,sm431_1,8,0,8,1,8.0
u1770041510906.csv,sm511_2,13,13,0,1,13.0
u1770041510906.csv,sm521_1,21,1,20,1,21.0
u1770041510906.csv,sm531_2,9,1,8,1,9.0
u1770041510906.csv,sm541_1,5,5,0,1,5.0
u1770041510906.csv,sm543_2,2,0,2,1,2.0
u1770041510906.csv,sm611_2,11,1,10,1,11.0
u1770039852651.csv,comprehension_check,0,0,0,1,0.0
u1770039852651.csv,experiment,0,0,0,1,0.0
u1770039852651.csv,s111_1,0,0,0,1,0.0
u1770039852651.csv,sm111_1,32,25,7,1,32.0
u1770039852651.csv,sm112_1,17,1,16,1,17.0
u1770039852651.csv,sm311_1,8,0,8,1,8.0
u1770039852651.csv,sm321_1,9,0,9,1,9.0
u1770039852651.csv,sm331_2,7,0,7,1,7.0
u1770039852651.csv,sm351_2,10,0,10,1,10.0
u1770039852651.csv,sm411_1,14,1,13,1,14.0
u1770039852651.csv,sm421_1,33,19,14,1,33.0
u1770039852651.csv,sm432_1,9,0,9,1,9.0
u1770039852651.csv,sm531_1,8,0,8,1,8.0
u1770039852651.csv,sm541_1,12,0,12,1,12.0
u1770039852651.csv,sm612_1,11,0,11,1,11.0
u1770058516814.csv,comprehension_check,0,0,0,1,0.0
u1770058516814.csv,experiment,0,0,0,1,0.0
u1770058516814.csv,s111_1,0,0,0,1,0.0
u1770058516814.csv,sm111_1,11,11,0,1,11.0
u1770058516814.csv,sm112_1,13,3,10,1,13.0
u1770058516814.csv,sm321_1,9,0,9,1,9.0
u1770058516814.csv,sm331_1,5,0,5,1,5.0
u1770058516814.csv,sm341_2,7,3,4,1,7.0
u1770058516814.csv,sm371_1,14,14,0,1,14.0
u1770058516814.csv,sm411_1,14,1,13,1,14.0
u1770058516814.csv,sm432_1,9,0,9,1,9.0
u1770058516814.csv,sm531_2,9,1,8,1,9.0
u1770058516814.csv,sm541_1,5,5,0,1,5.0
u1770058516814.csv,sm543_1,27,17,10,1,27.0
u1770058516814.csv,sm612_1,2,2,0,1,2.0
u1770058682997.csv,comprehension_check,0,0,0,1,0.0
u1770058682997.csv,experiment,0,0,0,1,0.0
u1770058682997.csv,s111_1,0,0,0,1,0.0
u1770058682997.csv,sm111_1,9,0,9,1,9.0
u1770058682997.csv,sm112_1,31,18,13,1,31.0
u1770058682997.csv,sm211_1,5,0,5,1,5.0
u1770058682997.csv,sm221_2,7,1,6,1,7.0
u1770058682997.csv,sm331_2,5,0,5,1,5.0
u1770058682997.csv,sm341_1,12,1,11,1,12.0
u1770058682997.csv,sm361_1,11,1,10,1,11.0
u1770058682997.csv,sm371_1,14,14,0,1,14.0
u1770058682997.csv,sm432_2,9,0,9,1,9.0
u1770058682997.csv,sm511_1,23,1,22,1,23.0
u1770058682997.csv,sm521_2,10,10,0,1,10.0
u1770058682997.csv,sm611_2,11,1,10,1,11.0
