participant_code,plan_id,step,timestep,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,statement_ratings_1,statement_ratings_2,statement_probs_1,statement_probs_2,reward,goal_reward,time_spent
1705958870040,9_2,1,6,0.0,0.5,0.5,0.0,0.0,3.0,6.0,0.3333333333333333,0.8333333333333334,0.0,,24.601
1705958870040,9_2,2,8,0.0,0.5,0.5,0.0,0.0,4.0,3.0,0.5,0.3333333333333333,0.0,,41.367
1705958895094,1_2,1,17,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.6666666666666666,0.6666666666666666,1.0,,20.886
1705958895094,1_2,2,20,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,1.0,,28.443
1705958895094,2_2,1,6,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,,19.418
1705958895094,3_1,1,4,0.0,0.0,1.0,0.0,1.0,4.0,4.0,0.5,0.5,1.0,,23.082
1705958895094,3_1,2,6,0.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,,37.731
1705958895094,4_1,1,6,0.0,0.0,1.0,0.0,1.0,5.0,7.0,0.6666666666666666,1.0,1.0,,28.93
1705958895094,4_1,2,9,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,41.758
1705958895094,5_1,1,4,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,1.0,,18.0
1705958895094,5_1,2,8,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,1.0,,26.555
1705958895094,6_1,1,3,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.5,0.5,0.0,,18.27
1705958895094,6_1,2,7,0.0,1.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,1.0,,33.774
1705958895094,7_1,1,4,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.5,1.0,,19.792
1705958895094,7_1,2,7,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.5,0.0,,28.795
1705958895094,8_1,1,8,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.3333333333333333,0.0,0.0,,33.67
1705958895094,8_1,2,18,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,56.983
1705958895094,8_1,3,25,0.0,0.0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,1.0,,72.802
1705958895094,9_1,1,3,0.0,0.0,1.0,0.0,1.0,7.0,7.0,1.0,1.0,1.0,,23.437
1705958895094,9_1,2,9,0.0,0.0,1.0,0.0,1.0,7.0,1.0,1.0,0.0,1.0,,34.762
1705959015333,1_1,1,4,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,,31.12
1705959015333,1_1,2,6,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,,44.922
1705959015333,1_3,1,16,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.8333333333333334,0.0,0.0,,29.741
1705959015333,1_3,2,19,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,,43.815
1705959015333,1_3,3,21,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,1.0,,75.058
1705959015333,2_1,1,5,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,1.0,0.0,,34.613
1705959015333,2_1,2,10,1.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,1.0,,47.073
1705959015333,4_1,1,6,1.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,1.0,0.0,,17.536
1705959015333,4_1,2,9,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,,33.091
1705959015333,5_2,1,3,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,,14.753
1705959015333,5_2,2,10,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,,25.599
1705959015333,5_2,3,14,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,1.0,0.0,,40.168
1705959015333,6_2,1,5,0.0,0.0,0.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,,15.595
1705959015333,6_2,2,9,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,1.0,0.0,,24.21
1705959015333,6_2,3,15,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,37.889
1705959015333,7_2,1,3,0.0,0.0,1.0,0.0,1.0,7.0,1.0,1.0,0.0,1.0,,15.623
1705959015333,7_2,2,7,0.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,,22.008
1705959015333,8_2,1,5,0.5,0.5,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,,22.112
1705959015333,8_2,2,8,0.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,,36.568
1705959015333,9_2,1,6,0.0,0.0,0.0,1.0,1.0,2.0,7.0,0.16666666666666666,1.0,1.0,,17.771
1705959015333,9_2,2,8,0.0,0.0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,1.0,,27.264
1705959141971,1_2,1,17,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.5,0.5,1.0,,23.922
1705959141971,1_2,2,20,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,1.0,,36.931
1705959141971,2_2,1,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,7.0,0.0,1.0,0.3333333333333333,,23.747
1705959141971,3_1,1,4,0.0,0.0,1.0,0.0,1.0,4.0,5.0,0.5,0.6666666666666666,1.0,,29.499
1705959141971,3_1,2,6,0.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,,39.302
1705959141971,4_2,1,6,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.5,0.5,1.0,,15.744
1705959141971,4_2,2,9,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,26.768
1705959141971,5_1,1,4,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,7.0,0.0,1.0,0.3333333333333333,,26.918
1705959141971,5_1,2,8,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,7.0,0.0,1.0,0.3333333333333333,,40.327
1705959141971,6_1,1,3,0.25,0.25,0.25,0.25,0.25,4.0,4.0,0.5,0.5,0.25,,21.948
1705959141971,6_1,2,7,0.0,1.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,1.0,,45.484
1705959141971,7_1,1,4,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,5.0,0.0,0.6666666666666666,0.3333333333333333,,18.563
1705959141971,7_1,2,7,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,6.0,0.0,0.8333333333333334,0.3333333333333333,,34.998
1705959141971,8_1,1,8,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,0.3333333333333333,,33.42
1705959141971,8_1,2,18,0.0,0.0,0.0,1.0,1.0,6.0,1.0,0.8333333333333334,0.0,1.0,,56.067
1705959141971,8_1,3,25,0.0,0.0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,1.0,,64.838
1705959141971,9_1,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,4.0,1.0,0.5,0.0,0.3333333333333333,,20.65
1705959141971,9_1,2,9,0.0,0.5,0.5,0.0,0.5,6.0,1.0,0.8333333333333334,0.0,0.5,,37.008
1705959210140,1_1,1,4,0.0,0.5,0.0,0.5,0.5,4.0,4.0,0.5,0.5,0.5,,18.183
1705959210140,1_1,2,6,0.0,0.5,0.0,0.5,0.5,1.0,7.0,0.0,1.0,0.5,,29.22
1705959210140,1_3,1,16,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.5,0.5,1.0,,26.197
